date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:33:13	8752/8752	---M-Z	200	added ('OK')	text/html	etag:%22eb9a1dad9e2318e567074454babe9e6c-ssl-df%22	https://kuon.space/	C:/Users/rkg42/Downloads/https___kuon.space_/kuon.space/index.html	(from )
01:33:13	1447/1447	---M-Z	404	error ('Not%20Found')	text/html	etag:1519975376-ssl-df	https://kuon.space/robots.txt		(from )
01:33:13	45224/45224	---M--	200	added ('OK')	image/png	etag:%2214cfeea6423c5fc1fdccf078ee09aa89-ssl%22	https://kuon.space/assets/img/ogp.png	C:/Users/rkg42/Downloads/https___kuon.space_/kuon.space/assets/img/ogp.png	(from https://kuon.space/)
01:33:13	5078/5078	---M-Z	200	added ('OK')	text/css	etag:%22f3b9743804fdd1bc647777f71557c03e-ssl-df%22	https://kuon.space/assets/css/jquery.fullPage.css	C:/Users/rkg42/Downloads/https___kuon.space_/kuon.space/assets/css/jquery.fullPage.css	(from https://kuon.space/)
01:33:13	32808/32808	---M-Z	200	added ('OK')	text/css	etag:%22646c073f6939837908377413865c1ec8-ssl-df%22	https://kuon.space/assets/css/common.css	C:/Users/rkg42/Downloads/https___kuon.space_/kuon.space/assets/css/common.css	(from https://kuon.space/)
01:33:14	34734/34734	---MCZ	200	added ('OK')	text/css	etag:W/%2242eaa52604673b64d6b356c2fd7f87e3%22	https://use.fontawesome.com/releases/v5.0.6/css/all.css	C:/Users/rkg42/Downloads/https___kuon.space_/use.fontawesome.com/releases/v5.0.6/css/all.css	(from https://kuon.space/)
01:33:15	17542/17542	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%2292982efe1cc1ca64cdf120e5e84c936b-ssl%22	https://kuon.space/favicon.ico	C:/Users/rkg42/Downloads/https___kuon.space_/kuon.space/favicon.ico	(from https://kuon.space/)
01:33:15	11192/11192	---M--	200	added ('OK')	image/png	etag:%229c4dcf191260ddf11de727032d7dd54c-ssl%22	https://kuon.space/apple-touch-icon.png	C:/Users/rkg42/Downloads/https___kuon.space_/kuon.space/apple-touch-icon.png	(from https://kuon.space/)
01:33:15	2609/2609	---M-Z	200	added ('OK')	text/css	etag:%22bee668605ea109d69bd97a0f103b43e5-ssl-df%22	https://kuon.space/awwwards.css	C:/Users/rkg42/Downloads/https___kuon.space_/kuon.space/awwwards.css	(from https://kuon.space/)
01:33:16	7101/7101	---MCZ	200	added ('OK')	text/html	etag:%223485c6ad8a16531444054810283c214c-ssl-df%22	https://kuon.space/reile.html	C:/Users/rkg42/Downloads/https___kuon.space_/kuon.space/reile.html	(from https://kuon.space/)
